A,B,C
"{'C': [], 'B': []}","{'A': [2.2777478476252315, 2.2777478476252315, 2.2777478476252315], 'C': []}","{'A': [], 'B': []}"
"{'C': [], 'B': []}","{'A': [2.2777478476252315, 2.2777478476252315, 2.2777478476252315], 'C': []}","{'A': [], 'B': []}"
"{'C': [], 'B': []}","{'A': [2.2777478476252315, 2.2777478476252315, 2.2777478476252315], 'C': []}","{'A': [], 'B': []}"
"{'C': [], 'B': []}","{'A': [2.2777478476252315, 2.2777478476252315, 2.2777478476252315], 'C': []}","{'A': [], 'B': []}"
"{'C': [], 'B': []}","{'A': [2.2777478476252315, 2.2777478476252315, 2.2777478476252315], 'C': []}","{'A': [], 'B': []}"
"{'C': [], 'B': []}","{'A': [2.2777478476252315, 2.2777478476252315, 2.2777478476252315], 'C': []}","{'A': [], 'B': []}"
"{'C': [], 'B': []}","{'A': [2.2777478476252315, 2.2777478476252315, 2.2777478476252315], 'C': []}","{'A': [], 'B': []}"
"{'C': [], 'B': []}","{'A': [2.2777478476252315, 2.2777478476252315, 2.2777478476252315], 'C': []}","{'A': [], 'B': []}"
"{'C': [], 'B': []}","{'A': [2.2777478476252315, 2.2777478476252315, 2.2777478476252315], 'C': []}","{'A': [], 'B': []}"
"{'C': [], 'B': []}","{'A': [2.2777478476252315, 2.2777478476252315, 2.2777478476252315], 'C': []}","{'A': [], 'B': []}"
